Country,Iso3c,2012 Rank,2012 Score,2013 Rank,2013 Score,2014 Rank,2014 Score,2015 Rank,2015 Score,2016 Rank,2016 Score,2017 Rank,2017 Score,2018 Rank,2018 Score,2019 Rank,2019 Score,2020 Rank,2020 Score,2021 Rank,2021 Score,2022 Rank,2022 Score
Guinea,GIN,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Guinea-Bissau,GNB,75,2.26979317520095,79,1.73086448260274,87,1.24105004001805,97,0.826318935360223,102,0.508313378859537,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Guyana,GUY,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Haiti,HTI,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Honduras,HND,69,2.40845626353178,76,1.86082737386225,96,0.508313378859537,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
Hungary,HUN,106,0.290978597681926,109,0.157670277511823,87,1.24105004001805,97,0.826318935360223,78,1.81963900407464,88,1.31972173286483,97,0.890406938670335,103,0.508313378859537,97,0.290978597681926,96,0.0,93,0.0
Iceland,ISL,112,0.0,110,0.0,110,0.0,106,0.0,106,0.0,108,0.0,110,0.0,112,0.0,105,0.0,96,0.0,93,0.0
India,IND,8,7.8147150789474,8,7.70049111677063,8,7.48804584292142,10,7.43251061263587,10,7.52060276158293,9,7.71142448572827,6,7.89578584686805,9,7.80515480690028,10,7.66932330328139,13,7.43409396913815,13,7.17496201507097
Indonesia,IDN,26,5.23522327346869,24,5.12348196367251,28,4.69335770949187,37,4.73128675234468,40,4.80483404066411,38,4.87907776355838,24,5.8461540966702,30,5.46475074095979,28,5.37659074144044,24,5.49204609690053,24,5.50210106202012
Iran,IRN,19,5.68896479375081,21,5.48887032377781,26,4.98812926191602,34,5.26869557086639,39,4.85102798700369,34,5.16874108753443,22,6.0091867730574,25,5.96193165660789,26,5.61810004144917,26,5.14358900469698,21,5.68752106671281
Iraq,IRQ,1,9.59996702805924,1,9.87478140089336,1,9.85779599504447,1,9.79372633014894,1,10.0,1,9.74226397279452,1,9.42187101436753,2,9.01650190936496,2,8.69925914654552,2,8.52401170437275,7,8.13861781378881
Ireland,IRL,78,2.11961032363824,74,1.9468998010341,71,2.31852676052605,82,1.73086448260274,82,1.70717006083636,93,1.19885668197682,100,0.757098618500233,89,1.31972173286483,87,0.890406938670335,86,0.508313378859537,87,0.290978597681926
